Incident.year,Latitude,Longitude,Victim.injury,Species.clean,Activity.clean,State,Location,Provoked.unprovoked,Decade
1882,-17.98333333,122.2333333,injured,Tiger Shark,Snorkelling,WA,broome (area),provoked,1880
1882,-33.08333333,151.65,fatal,White Shark,,NSW,lake macquarie heads,unprovoked,1880
1882,-33.85,151.2,injured,Wobbegong,Swimming,NSW,"miller's point, sydney harbour",unprovoked,1880
1882,-15.88333333,122.0,fatal,Tiger Shark,Snorkelling,WA,broome area (nintey mile beach),provoked,1880
1882,-17.98333333,122.2333333,fatal,Tiger Shark,Snorkelling,WA,broome (area),provoked,1880
1883,-33.85,151.15,fatal,Bull Shark,Swimming,NSW,"iron cove bay, sydney",unprovoked,1880
1883,-33.86666667,151.2,fatal,Bull Shark,Swimming,NSW,"parramatta river, sydney",unprovoked,1880
1883,-33.8,151.2833333,uninjured,Bull Shark,Swimming,NSW,"store beach, quarantine, manly",provoked,1880
1884,-33.18333333,137.9833333,fatal,White Shark,Swimming,SA,port pirie,unprovoked,1880
1885,-33.81666667,151.05,uninjured,Bull Shark,Swimming,NSW,parramatta river,unprovoked,1880
1885,-33.31666667,115.6333333,injured,White Shark,Swimming,WA,bunbury,unprovoked,1880
1886,-25.53333333,152.7,uninjured,Bull Shark,Swimming,QLD,maryborough harbour,unprovoked,1880
1886,-23.38333333,150.6333333,injured,Bull Shark,Swimming,QLD,"fitzroy river, rotheway bay",unprovoked,1880
1887,-33.8,151.2833333,uninjured,Whaler Shark,Boating,NSW,"manly wharf, sydney",unprovoked,1880
1887,-33.81666667,151.0833333,fatal,Bull Shark,Swimming,NSW,"ryde, sydney harbour",unprovoked,1880
1888,-19.85,145.4,injured,Tiger Shark,Snorkelling,QLD,cooktown (gbr),provoked,1880
1888,-33.85,151.15,fatal,Bull Shark,Swimming,NSW,"iron cove bridge, sydney",unprovoked,1880
1889,-38.33333333,144.6166667,fatal,White Shark,Swimming,VIC,port phillip bay heads,unprovoked,1880
1890,-42.73333333,147.2333333,injured,Other,Swimming,TAS,"derwent, bridgewater",unprovoked,1890
